time,open,high,low,close,Up Marker,Down Marker
2025-02-27T17:00:00Z,22492.1,22510.1,22487.6,22492.1,0,0
2025-02-27T17:15:00Z,22492.1,22507.6,22459.6,22506.6,0,0
2025-02-27T17:30:00Z,22506.6,22518.1,22478.6,22490.6,0,0
2025-02-27T17:45:00Z,22490.6,22509.1,22482.6,22506.6,0,0
2025-02-27T18:00:00Z,22506.6,22543.1,22506.6,22538.1,1,0
2025-02-27T18:15:00Z,22538.1,22552.1,22527.1,22541.6,0,0
2025-02-27T18:30:00Z,22541.6,22563.6,22538.1,22553.1,0,0
2025-02-27T18:45:00Z,22553.1,22560.6,22536.1,22541.6,0,0
2025-02-27T19:00:00Z,22541.6,22544.1,22513.1,22516.1,0,0
2025-02-27T19:15:00Z,22516.1,22518.1,22470.6,22470.6,0,0
2025-02-27T19:30:00Z,22470.6,22472.1,22403.1,22426.1,0,0
2025-02-27T19:45:00Z,22426.1,22444.6,22413.1,22430.6,0,0
2025-02-27T20:00:00Z,22430.6,22432.1,22373.1,22386.6,0,0
2025-02-27T20:15:00Z,22386.6,22411.1,22374.6,22383.6,0,0
2025-02-27T20:30:00Z,22383.6,22425.6,22383.6,22404.1,1,0
2025-02-27T20:45:00Z,22404.1,22421.1,22390.1,22403.6,0,0
2025-02-27T21:00:00Z,22403.6,22407.42,22382.1,22403.1,0,0
2025-02-27T21:15:00Z,22403.1,22424.1,22395.46,22418.38,0,0
2025-02-27T21:30:00Z,22418.38,22431.7,22417.38,22423.1,0,0
2025-02-27T21:45:00Z,22423.1,22430.74,22402.97,22406.78,0,0
2025-02-27T22:00:00Z,22406.78,22406.78,22406.31,22406.31,0,1
2025-02-27T23:00:00Z,22406.31,22440.7,22406.31,22419.7,1,0
2025-02-27T23:15:00Z,22419.7,22429.29,22414.92,22423.56,0,0
2025-02-27T23:30:00Z,22423.56,22439.79,22421.65,22422.6,0,0
2025-02-27T23:45:00Z,22422.6,22436.06,22415.92,22435.11,0,0
2025-02-28T00:00:00Z,22435.11,22445.79,22433.2,22439.11,0,0
2025-02-28T00:15:00Z,22439.11,22443.1,22377.1,22380.6,0,0
2025-02-28T00:30:00Z,22380.6,22396.1,22375.1,22377.1,0,0
2025-02-28T00:45:00Z,22377.1,22379.1,22334.6,22334.6,0,0
2025-02-28T01:00:00Z,22334.6,22366.1,22334.1,22365.6,0,0
2025-02-28T01:15:00Z,22365.6,22381.1,22365.1,22365.1,0,0
